tag,sex,gravid,gametes,brooding,date,temp,cond,salinity,do,ph,notes
18,M,N,0,0,4/22/2016,,,,,,
6,M,N,0,0,4/22/2016,,,,,,
10,F,N,0,0,4/22/2016,,,,,,
7,F,N,0,0,4/22/2016,,,,,,
9,M,N,0,0,4/22/2016,,,,,,
0,F,N,0,0,4/22/2016,,,,,,
4,F,N,0,0,4/22/2016,,,,,,
16,F,N,0,0,4/22/2016,,,,,,
2,F,N,0,0,4/22/2016,,,,,,
5,F,N,0,0,4/22/2016,,,,,,
3,F,N,0,0,4/22/2016,,,,,,
14,F,N,0,0,4/22/2016,,,,,,
1,M,N,0,0,4/22/2016,,,,,,
13,F,N,0,0,4/22/2016,,,,,,
17,M,N,0,0,4/22/2016,,,,,,
20,F,N,0,0,4/22/2016,,,,,,
12,F,N,0,0,4/22/2016,,,,,,
8,F,N,0,0,4/22/2016,,,,,,
22,M,N,0,0,4/22/2016,,,,,,
23,M,N,0,0,4/22/2016,,,,,,
21,M,N,0,0,4/22/2016,,,,,,
19,M,N,0,0,4/22/2016,,,,,,
24,F,Y,1,1,5/18/2016,8.67,107,0.07,13.2,7.74,Fert eggs
25,M,N,0,0,5/18/2016,8.67,107,0.07,13.2,7.74,
26,M,N,1,0,5/18/2016,8.67,107,0.07,13.2,7.74,lots of sperm
27,F,N,0,0,5/18/2016,8.67,107,0.07,13.2,7.74,
28,M,N,0,0,5/18/2016,8.67,107,0.07,13.2,7.74,
1,M,N,0,0,5/18/2016,8.67,107,0.07,13.2,7.74,
29,M,N,0,0,5/18/2016,8.67,107,0.07,13.2,7.74,
30,F,N,0,0,5/18/2016,8.67,107,0.07,13.2,7.74,
7,F,N,0,0,5/18/2016,8.67,107,0.07,13.2,7.74,
31,M,N,1,0,5/18/2016,8.67,107,0.07,13.2,7.74,lots of sperm
32,M,N,1,0,5/18/2016,8.67,107,0.07,13.2,7.74,lots of sperm
23,M,N,1,0,5/18/2016,8.67,107,0.07,13.2,7.74,still sperm 
8,F,N,0,0,5/18/2016,8.67,107,0.07,13.2,7.74,
33,F,Y,1,1,5/18/2016,8.67,107,0.07,13.2,7.74,Fert eggs
34,M,N,0,0,5/18/2016,8.67,107,0.07,13.2,7.74,
35,M,N,0,0,5/18/2016,8.67,107,0.07,13.2,7.74,
36,F,Y,1,1,5/18/2016,8.67,107,0.07,13.2,7.74,Fert eggs gill extract 
37,F,N,0,0,5/18/2016,8.67,107,0.07,13.2,7.74,
38,M,N,0,0,5/18/2016,8.67,107,0.07,13.2,7.74,
39,F,Y,1,1,5/18/2016,8.67,107,0.07,13.2,7.74,Fert eggs gill extract 
40,F,Y,1,1,6/1/2016,18.64,159,0.08,9.1,7.65,D-shaped 
2,F,Y,1,1,6/1/2016,18.64,159,0.08,9.1,7.65,D-shaped 
28,M,N,0,0,6/1/2016,18.64,159,0.08,9.1,7.65,
1,M,N,1,0,6/1/2016,18.64,159,0.08,9.1,7.65,"lots of sperm, Dead? "
32,M,N,1,0,6/1/2016,18.64,159,0.08,9.1,7.65,lots of sperm
